EdgeType,Name_A,Name_B,ExpEvidences
PPI,SEC2_CANAL,CDK1_CANAL,3
PPI,HGC1_CANAL,CDK1_CANAL,4
PPI,Q5AMQ3_CANAL,CDC42_CANAL,2
PPI,HGC1_CANAL,Q5AMQ3_CANAL,2
PPI,CG21_CANAL,IQG1_CANAL,2
PPI,IQG1_CANAL,CG24_CANAL,2
PPI,IQG1_CANAL,BNR1_CANAL,2
PPI,BNI1_CANAL,IQG1_CANAL,2
PPI,CBK1_CANAL,MOB2_CANAL,1
PPI,CDC11_CANAL,SHS1_CANAL,4
PPI,CDC11_CANAL,CDC10_CANAL,5
PPI,Q59Z33_CANAL,CDK1_CANAL,3
PPI,Q5ADN1_CANAL,SHS1_CANAL,2
PPI,SHS1_CANAL,CDC10_CANAL,2
PPI,CDC11_CANAL,CDC11_CANAL,2
PPI,GIN4_CANAL,CDC11_CANAL,4
PPI,GIN4_CANAL,SHS1_CANAL,2
PPI,GIN4_CANAL,NAP1_CANAL,3
PPI,SSD1_CANAL,CBK1_CANAL,2
PPI,CDK1_CANAL,CDC11_CANAL,2
PPI,IQG1_CANAL,CDK1_CANAL,3
GPI,gene_BNI1,BNI1_CANAL,3
GPI,gene_CG24,CG24_CANAL,3
GPI,gene_CG21,CG21_CANAL,3
GPI,gene_BNR1,BNR1_CANAL,3
